"","SYMBOL","ID","logFC","P.Value"
"235226_at","CDK19","235226_at",0.728047385253926,0.115321675718992
"221943_x_at","RPL38","221943_x_at",0.727004583382495,0.247175951688467
"225974_at","TMEM64","225974_at",0.726788456388829,0.1995480297276
"214902_x_at","LPP","214902_x_at",0.726740001650275,0.065662268436863
"239772_x_at","DHX30","239772_x_at",0.725796501416778,0.0800714496435801
"219629_at","FAM118A","219629_at",0.725764547193689,0.193071846961476
"232216_at","YME1L1","232216_at",0.725756090830625,0.235648366910617
"224851_at","CDK6","224851_at",0.725245317318917,0.13777214008492
"242780_at","VAPA","242780_at",0.72509737335109,0.0491501213626383
"228834_at","TOB1","228834_at",0.723680440159304,0.343264048199619
"232138_at","MBNL2","232138_at",0.723385031701247,0.073824181213265
"240592_at","LCORL","240592_at",0.722524468002463,0.212965474398674
"1554933_at","PSIP1","1554933_at",0.722144861901509,0.0156849597733628
"1560081_at","RAD51-AS1","1560081_at",0.721822312428671,0.00898406132465158
"202742_s_at","PRKACB","202742_s_at",0.721015097167782,0.311711968097796
"201151_s_at","MBNL1","201151_s_at",0.720399942147854,0.375750937342641
"1563524_a_at","ITPK1-AS1","1563524_a_at",0.71942869041352,0.15711786612476
"242812_at","HCG18","242812_at",0.719222281297565,0.118234312070307
"208268_at","ADAM28","208268_at",0.717167246973338,0.135518684552429
"235482_at","PCBP1-AS1","235482_at",0.712065040677168,0.0657079664944578
"229851_s_at","C11orf54","229851_s_at",0.711559404529556,0.142319711958406
"214474_at","PRKAB2","214474_at",0.711348003068943,0.0153913331803415
"1562442_a_at","SSBP1","1562442_a_at",0.710649699032252,0.0243202140405862
"200962_at","RPL31","200962_at",0.709932183658798,0.207857893319766
"236808_at","FGFR1OP2","236808_at",0.708244571037797,0.213753090039777
"208137_x_at","ZNF611","208137_x_at",0.707564534462334,0.0800811635097232
"237332_at","MON2","237332_at",0.706634438983278,0.117148751069951
"231979_at","GABPB1-AS1","231979_at",0.706628902059607,0.16074257794727
"231992_x_at","GS1-124K5.11","231992_x_at",0.706120669732306,0.0656480660629895
"202859_x_at","CXCL8","202859_x_at",0.705813160003222,0.265673468682598
"51228_at","RBM12B","51228_at",0.704703331983079,0.0872080441253465
"232215_x_at","PRR11","232215_x_at",0.704683791456494,0.113396910206803
"235084_x_at","TRIM38","235084_x_at",0.704643424897903,0.0773718218647969
"1566785_x_at","NSF","1566785_x_at",0.704606335664418,0.0709411861129005
